token,simbolo
a,Letra
b,Letra
c,Letra
d,Letra
e,Letra
f,Letra
g,Letra
h,Letra
i,Letra
j,Letra
k,Letra
l,Letra
m,Letra
n,Letra
o,Letra
p,Letra
q,Letra
r,Letra
s,Letra
t,Letra
u,Letra
v,Letra
w,Letra
x,Letra
y,Letra
z,Letra
0,Dígito
1,Dígito
2,Dígito
3,Dígito
4,Dígito
5,Dígito
6,Dígito
7,Dígito
8,Dígito
9,Dígito
.,Símbolo Especial
;,Símbolo Especial
",",Símbolo Especial
(,Símbolo Especial
),Símbolo Especial
{,Símbolo Especial
},Símbolo Especial
[,Símbolo Especial
],Símbolo Especial
:,Símbolo Especial
=,Símbolo Especial
<,Símbolo Especial
>,Símbolo Especial
+,Símbolo Especial
-,Símbolo Especial
*,Símbolo Especial
%,Símbolo Especial
++,Símbolo Composto
--,Símbolo Composto
>=,Símbolo Composto
<=,Símbolo Composto
+=,Símbolo Composto
-=,Símbolo Composto
*=,Símbolo Composto
/=,Símbolo Composto
%=,Símbolo Composto
auto,Palavra Reservada
break,Palavra Reservada
case,Palavra Reservada
char,Palavra Reservada
const,Palavra Reservada
continue,Palavra Reservada
default,Palavra Reservada
do,Palavra Reservada
double,Palavra Reservada
eles,Palavra Reservada
enum,Palavra Reservada
extern,Palavra Reservada
float,Palavra Reservada
for,Palavra Reservada
goto,Palavra Reservada
if,Palavra Reservada
int,Palavra Reservada
long,Palavra Reservada
register,Palavra Reservada
return,Palavra Reservada
short,Palavra Reservada
signed,Palavra Reservada
sizeof,Palavra Reservada
static,Palavra Reservada
struct,Palavra Reservada
switch,Palavra Reservada
typedef,Palavra Reservada
union,Palavra Reservada
unsigned,Palavra Reservada
void,Palavra Reservada
volatile,Palavra Reservada
while,Palavra Reservada
printf,Palavra Reservada
main,Palavra Reservada
